,hour,invocations
0,0,74.82593340750527
1,1,60.97745483963017
2,2,52.56799697072003
3,3,51.4133651172706
4,4,55.245588048931445
5,5,54.033215105919844
6,6,51.85592017871768
7,7,51.95187675255596
8,8,50.0
9,9,50.28999702481424
10,10,56.16279765911545
11,11,56.17966413527694
12,12,57.244759312345955
13,13,61.32477509085857
14,14,64.3085838815444
15,15,67.22439494175886
16,16,64.55466728824425
17,17,63.3388374773707
18,18,77.77418584303956
19,19,84.36502731609383
20,20,91.30751962209362
21,21,94.38128295230786
22,22,100.34836870785456
23,23,102.60068906392864
24,24,105.44971799555736
25,25,111.57555375984123
26,26,114.8350762531866
27,27,115.90096916899326
28,28,119.82922464961015
29,29,124.42328807546204
30,30,127.61488881345383
31,31,121.0339241057196
32,32,111.42341358635665
33,33,119.18130884462809
34,34,121.52536915549999
35,35,123.78342563297147
36,36,119.69680001920631
37,37,119.57626549474527
38,38,116.54991063806627
39,39,113.83653527934973
40,40,113.69902031605031
41,41,110.39193739893392
42,42,107.9939727419509
43,43,106.55048349045484
44,44,103.10402421965183
45,45,102.6641662748882
46,46,89.99900016744905
47,47,85.18077215639548
48,48,80.9524529478496
49,49,78.97516251837438
50,50,83.71319879254244
51,51,86.19644551930654
52,52,89.91801069182617
53,53,93.97489204695499
54,54,104.54698164532323
55,55,117.32390715111232
56,56,120.39683475503028
57,57,124.73455813327313
58,58,133.09448022534815
59,59,136.60361896837335
60,60,143.07358402893612
61,61,136.8741663630193
62,62,145.30201021044792
63,63,159.90651717599863
64,64,168.71890908239965
65,65,173.01047757655158
66,66,173.7428397250187
67,67,179.14261927561662
68,68,173.92886480106205
69,69,171.61352308473556
70,70,173.51734557525475
71,71,171.02042332727865
72,72,168.6006538114741
73,73,170.05709682056283
74,74,171.47931303906228
75,75,176.6403787693914
76,76,169.88398751455298
77,77,165.86733498432326
78,78,170.55446792953504
79,79,181.8618447184072
80,80,189.6374421791364
81,81,190.64661966947156
82,82,194.31636981162112
83,83,189.62555207319383
84,84,191.07872815221504
85,85,194.5494614731697
86,86,195.92518091954798
87,87,201.034849482655
88,88,205.88069444904502
89,89,210.45454849355013
90,90,214.90927355327406
91,91,208.50206394005124
92,92,205.0285955148545
93,93,209.66581280764225
94,94,215.63688725687584
95,95,217.9504435579329
96,96,219.96465789468084
97,97,228.95965599682245
98,98,231.34238764267735
99,99,231.21474944469776
100,100,231.1249468554049
101,101,226.79850578216215
102,102,228.59110070015632
103,103,229.2553511554752
104,104,231.0792858095802
105,105,233.80325969723611
106,106,230.9445819256409
107,107,228.27755138880977
108,108,231.4286573889905
109,109,242.18768376481614
110,110,243.49650711993203
111,111,240.88885113769695
112,112,247.4976987136803
113,113,250.9182124817394
114,114,255.36940469848358
115,115,260.094069351911
116,116,258.3650276199942
117,117,260.122901909133
118,118,264.9029904110283
119,119,268.5752097445078
120,120,267.88554561226965
121,121,258.01979668450656
122,122,256.3444693609064
123,123,255.47402243575604
124,124,266.0165197257237
125,125,273.85943114086353
126,126,274.22677083564406
127,127,283.744173848088
128,128,286.60399124645085
129,129,288.1039300105057
130,130,287.4725767812138
131,131,283.3712499821456
132,132,285.42971982503843
133,133,285.95102309613185
134,134,286.64095314128247
135,135,284.8927276921098
136,136,272.9668754564203
137,137,268.2538729835824
138,138,259.5058320019958
139,139,254.93277569622836
140,140,251.59446700567773
141,141,246.22492555198195
142,142,252.00283326409448
143,143,256.3552578276403
144,144,261.5510441868246
145,145,265.9799377064812
146,146,261.697904089619
147,147,262.87464470236125
148,148,266.8636802772545
149,149,272.0762191499234
150,150,279.3387566398454
151,151,274.2240357314017
152,152,276.9603175881484
153,153,279.89500846514767
154,154,290.713523358246
155,155,295.0514746618422
156,156,293.231604676542
157,157,296.1028563301403
158,158,296.6765064574292
159,159,299.8083527652358
160,160,300.43571730084113
161,161,298.72639111200505
162,162,297.6381615115522
163,163,297.7608613268718
164,164,295.4117866582221
165,165,295.2078314543672
166,166,291.5579867930933
167,167,296.6629448988939
168,168,297.0052128047856
169,169,303.9899472763072
170,170,303.8910656604319
171,171,302.6408571087333
172,172,306.73219317980465
173,173,304.21445374953913
174,174,307.9596851712675
175,175,310.6970686672232
176,176,309.9938809640086
177,177,310.2846377400016
178,178,315.9548507225688
179,179,321.24157929781364
180,180,321.74065984693755
181,181,317.87702120404754
182,182,320.50803953502003
183,183,327.11650723541425
184,184,339.21657041632227
185,185,343.243023736754
186,186,344.57232238612914
187,187,354.31468772251196
188,188,358.13456469752333
